headline,cleaned_headline,char_count,word_count,avg_word_length,quote_count,exclamation_count,question_mark_count,is_sarcastic
"well, whatever the case may be, that baby has a full function nervous system and can feel the pain whenever it is aborted. Does that not disturb you? People always tend to think ""oh the mother is going to go through pain"" BLA BLA BLA.. BUT WHAT ABOUT THE BABY THAT IS BEING TORTURED TO DEATH? cmon.",well whatever the case may be that baby has a full function nervous system and can feel the pain whenever it is aborted does that not disturb you people always tend to think oh the mother is going to go through pain bla bla bla but what about the baby that is being tortured to death cmon,298,57,4.245614035087719,2,0,2,0
So what? The fact remains that Britain is still four times as dangerous as America in terms in crime rates. Or are you arguing that their crime level is acceptable and that you're alright with so many more people being a helpless victim unable to do anything?,so what the fact remains that britain is still four times as dangerous as america in terms in crime rates or are you arguing that their crime level is acceptable and that you are alright with so many more people being a helpless victim unable to do anything,259,47,4.531914893617022,1,0,2,0
"Nonsense. Name the holes and what parts are conjecture? The parts that are conjecture are never, ever taught in a high school biology class. There isn't time. Only major points are covered about which there is no doubt.",nonsense name the holes and what parts are conjecture the parts that are conjecture are never ever taught in a high school biology class there is not time only major points are covered about which there is no doubt,219,38,4.7894736842105265,1,0,1,0
Now everyone will know Marc was right all along--that there is an atheist science conspiracy.,now everyone will know marc was right all alongthat there is an atheist science conspiracy,93,15,5.266666666666667,0,0,0,0
"Well, I've personally measured the gravitational pull of a ball of lead about 5cm in diameter. Are you suggesting that angels push the planets around? That was the leading theory before Newton.",well i have personally measured the gravitational pull of a ball of lead about cm in diameter are you suggesting that angels push the planets around that was the leading theory before newton,193,32,5.0625,1,0,1,0
"Then 99% of creationists are not informed as far as I can tell. It seems that your position is that ""informed"" creationists are neo-Darwinists, fully accepting of the theories of evolution.",then of creationists are not informed as far as i can tell it seems that your position is that informed creationists are neodarwinists fully accepting of the theories of evolution,189,31,5.129032258064516,2,0,0,0
"Oh, so business owners don't make ""real"" contributions to society?",oh so business owners do not make real contributions to society,66,10,5.7,3,0,1,0
It's truly amazing that even someone like KH can disprove evolution so quickly.,it is truly amazing that even someone like kh can disprove evolution so quickly,79,13,5.153846153846154,1,0,0,0
So you still choose to believe that someone who's a victim of crime should be punished as if they committed the crime themselves?,so you still choose to believe that someone who is a victim of crime should be punished as if they committed the crime themselves,129,23,4.6521739130434785,1,0,1,0
"Many natural disasters such as tornados, destructive flood, severe drought probably have something to do with global warming.I don't know which is first regarding these combinations. Maybe flood is caused due to global warming, maybe reverse.These phenomena are related each other, so it can't be seperated when we think about it.Maybe global warming itself is not such a big threat but many disadvantages resulting from this are threats to us.",many natural disasters such as tornados destructive flood severe drought probably have something to do with global warmingi do not know which is first regarding these combinations maybe flood is caused due to global warming maybe reversethese phenomena are related each other so it cannot be seperated when we think about itmaybe global warming itself is not such a big threat but many disadvantages resulting from this are threats to us,444,70,5.357142857142857,2,0,0,0
"Biologically speaking, the fetus is human; the mother person is simply sustaining it via blood-- just like via mother's milk after birth. Can she legally starve the newborn child of that (if no other suitable nourishment is available) simply because she has the ""right to her body?""I think no, by law.",biologically speaking the fetus is human the mother person is simply sustaining it via blood just like via mothers milk after birth can she legally starve the newborn child of that if no other suitable nourishment is available simply because she has the right to her bodyi think no by law,301,51,4.921568627450981,3,0,1,0
And yet all you do is present your own opinions without supporting facts. ,and yet all you do is present your own opinions without supporting facts,74,13,4.6923076923076925,0,0,0,0
"I'm sure the racist white segregationists after Plessey thought exactly as you do now, ""That settles the matter.""Little Louise Brown had a big SURPRISE!!! for them.You still have not walked upon the thin ice of the ""well regulated"" wording, we note.",i am sure the racist white segregationists after plessey thought exactly as you do now that settles the matterlittle louise brown had a big surprise for themyou still have not walked upon the thin ice of the well regulated wording we note,249,41,5.097560975609756,5,3,0,0
"oh don't kid yourself, you people were miserable long before I got here. Darwinists' arrogance is astounding.",oh do not kid yourself you people were miserable long before i got here darwinists arrogance is astounding,109,17,5.470588235294118,2,0,0,0
"Exactly. Most people would incorporate it, from childhood most often. Steeeeve can't seem to wrap his mind around that.",exactly most people would incorporate it from childhood most often steeeeve cannot seem to wrap his mind around that,119,19,5.315789473684211,1,0,0,0
"Actually, everything the bible say's belies your ""atheist answer"". The reality is that the world itself and all of Gods Creation speaks to His existence as being self evident. It takes a degree of faith to accept Jesus as our personal Savior, but as far as accepting the reality of God Himself, all one need do is look observe the world we live in to see that only an incredible and loving God could create such a Beautiful and marvelous World with so many amazing symbiotic and perfectly interdependent forms of life.",actually everything the bible says belies your atheist answer the reality is that the world itself and all of gods creation speaks to his existence as being self evident it takes a degree of faith to accept jesus as our personal savior but as far as accepting the reality of god himself all one need do is look observe the world we live in to see that only an incredible and loving god could create such a beautiful and marvelous world with so many amazing symbiotic and perfectly interdependent forms of life,518,92,4.641304347826087,3,0,0,0
"Actually ""I don't know"" is quite a valid answer in science.However, again you slip into this false construct of a belief that all that can be known is in the scope of science; which you've also denied saying you believe in the past.[quote=Montalban]Is this a rational statement? If so, prove it rationally, by science. ",actually i do not know is quite a valid answer in sciencehowever again you slip into this false construct of a belief that all that can be known is in the scope of science which you have also denied saying you believe in the pastquotemontalbanis this a rational statement if so prove it rationally by science,319,54,4.907407407407407,4,0,1,0
"Well, let's be honest here. People fear gay marriage, not that it might come about via judicial fiat. That's just the current whipping horse because that's how it happened first, for some broad values of judicial fiat of course. There was a recent post here about rights granted gays by their state legislature, Oregon I think, and a group jumped in and forced the law on hold via a petition drive. So it really isn't the means by which gays get equality that upsets some folks, it's the equality itself. ""judicial fiat"" is just a phrase people can use so they can avoid stating their true motives, preventing gays from being treated as equals.",well let us be honest here people fear gay marriage not that it might come about via judicial fiat that is just the current whipping horse because that is how it happened first for some broad values of judicial fiat of course there was a recent post here about rights granted gays by their state legislature oregon i think and a group jumped in and forced the law on hold via a petition drive so it really is not the means by which gays get equality that upsets some folks it is the equality itself judicial fiat is just a phrase people can use so they can avoid stating their true motives preventing gays from being treated as equals,644,114,4.657894736842105,7,0,0,0
"Yes, it does. But determining that age is not a question answered by evolution.",yes it does but determining that age is not a question answered by evolution,79,14,4.714285714285714,0,0,0,0
"?? What are you trying to say?Science is knowledge, all knowledge, that is, anything we find to be true. There is no other ""truth"" out there, if there were, we'd be omniscient.",what are you trying to sayscience is knowledge all knowledge that is anything we find to be true there is no other truth out there if there were wed be omniscient,176,32,4.53125,3,0,3,0
"Now, now ZSU, we learned from comrade star gazer that GW created the Continental Army. I am sure these gentlemen have some equally illogical and inaccurate 'facts' to scatter around the barnyard emoticonXHoho",now now zsu we learned from comrade star gazer that gw created the continental army i am sure these gentlemen have some equally illogical and inaccurate facts to scatter around the barnyard emoticonxhoho,208,33,5.333333333333333,2,0,0,0
"YES! the founding fathers realized government was to serve the people it governed. With out a set of rules that limited the government it would run wild (as england did). They made the bill of rights and constitution so that it would limit the government (to keep it from becoming too powerful, and overstepping it's bounds). And the only way the constitution could actually be enforced was for the population to uphold it.Back in the time of it's writing they probably saw the best way for a population to force a government to not over step it's bounds was to force it... er... by force.Today in the information age, a much better weapon is our right to vote. Sweeping changes can be implemented with out the use of force using the system. ",yes the founding fathers realized government was to serve the people it governed with out a set of rules that limited the government it would run wild as england did they made the bill of rights and constitution so that it would limit the government to keep it from becoming too powerful and overstepping it is bounds and the only way the constitution could actually be enforced was for the population to uphold itback in the time of it is writing they probably saw the best way for a population to force a government to not over step it is bounds was to force it er by forcetoday in the information age a much better weapon is our right to vote sweeping changes can be implemented with out the use of force using the system,742,132,4.621212121212121,3,1,0,0
"There are several scientific explanations for the nature of the earth. Some use 'science' to say that the world is flat. Granted that these beliefs aren't widely accepted, but then not all religions are widely accepted. By your reasoning or 'logic' you must ask yourself about whether you should rely on science when there are many different scientific theories.The Flat Earth News, at least back then, had a regular column, ""One Hundred Proofs Earth is Not a Globe.""(go to http://www.flat-earth.org/)Other theories taught as sciencephrenologyalchemyevolutioneugenicsneptunismTheories of the Aether Articles relating to the Emergence of Scientific Theories of the Cosmic Aether(http://www.mountainman.com.au/aether.html)What about 'metascience'?http://www.calresco.org/lucas/science.htmOr, sciences used to support political ends...What about Marxist Sciencehttp://www.marxists.org/archive/hald...philosophy.htmor Chaos Theory and Marxismhttp://www.marxist.com/science/chaostheory.htmlThere's Nazi Sciencehttp://www.webster.edu/~woolflm/naziscience.htmlNationalist Sciencehttp://www.ljudmila.org/nettime/zkp4/08.htmOr social ends...Scientific Racismhttp://www.press.uillinois.edu/f02/tucker.htmlMainstream scientists instead of using the word 'heretic' use the word 'pseudo-science' to categorise fringe beliefs.",there are several scientific explanations for the nature of the earth some use science to say that the world is flat granted that these beliefs are not widely accepted but then not all religions are widely accepted by your reasoning or logic you must ask yourself about whether you should rely on science when there are many different scientific theoriesthe flat earth news at least back then had a regular column one hundred proofs earth is not a globego to httpwwwflatearthorgother theories taught as sciencephrenologyalchemyevolutioneugenicsneptunismtheories of the aether articles relating to the emergence of scientific theories of the cosmic aetherhttpwwwmountainmancomauaetherhtmlwhat about metasciencehttpwwwcalrescoorglucassciencehtmor sciences used to support political endswhat about marxist sciencehttpwwwmarxistsorgarchivehaldphilosophyhtmor chaos theory and marxismhttpwwwmarxistcomsciencechaostheoryhtmlthere is nazi sciencehttpwwwwebstereduwoolflmnazisciencehtmlnationalist sciencehttpwwwljudmilaorgnettimezkphtmor social endsscientific racismhttpwwwpressuillinoiseduftuckerhtmlmainstream scientists instead of using the word heretic use the word pseudoscience to categorise fringe beliefs,1312,135,8.725925925925926,14,0,1,0
"None of the 'fishersci' links would take, but I did get a look at the fibre optic systems. Will try again later.",none of the fishersci links would take but i did get a look at the fibre optic systems will try again later,112,22,4.136363636363637,2,0,0,0
"Actually, I reported the real results of a study. Regular church attendees are twice as likely to vote Republican...etc., the conclusion was, however, meant to be a joke. Most got it, you didn't. emoticonXRolleyes",actually i reported the real results of a study regular church attendees are twice as likely to vote republicanetc the conclusion was however meant to be a joke most got it you did not emoticonxrolleyes,213,34,5.294117647058823,1,0,0,0
"You mean that it must have has a beginning, don't you?",you mean that it must have has a beginning do not you,54,11,4.0,1,0,1,0
"I'm sorry, but your entire rant is nothing but ignorance based fear mongering. From YOUR ARTICLE:",i am sorry but your entire rant is nothing but ignorance based fear mongering from your article,97,16,5.125,1,0,0,0
"Actually I'm so sure of my manhood that even though I knew that charge would be levelled against me I still posted anyway. Anyway if you feel that men need to be degraded to make up for past actions to women you have gone from ""righteous"" to bitter.",actually i am so sure of my manhood that even though i knew that charge would be levelled against me i still posted anyway anyway if you feel that men need to be degraded to make up for past actions to women you have gone from righteous to bitter,249,48,4.208333333333333,3,0,0,0
No. We know that evolution happens. What would be a problem would be to find the processes that made evolution happen as such incredible rates. There isn't any evidence that it can happen that fast.,no we know that evolution happens what would be a problem would be to find the processes that made evolution happen as such incredible rates there is not any evidence that it can happen that fast,198,35,4.685714285714286,1,0,0,0
"No, not really. All that is different is the number of steps.
 
 What is YOUR definition of 'macro-evoution'? Is it speciation? Or is it a brand new genus?
 
 We have observed speciation, where new species happened.",no not really all that is different is the number of steps what is your definition of macroevoution is it speciation or is it a brand new genus we have observed speciation where new species happened,219,36,4.833333333333333,2,0,3,0
"Logical truths do not come from ""somewhere"", your question makes as much sense as ""What time is a moose?"".You do not appear to have read my post at all, variously repeating what I have said and addressing things I did not say.",logical truths do not come from somewhere your question makes as much sense as what time is a mooseyou do not appear to have read my post at all variously repeating what i have said and addressing things i did not say,226,42,4.404761904761905,4,0,1,0
"Not really when you consider the gun laws of the UK, and how they were changed to prevent incidents like Cumbria from ever happening.",not really when you consider the gun laws of the uk and how they were changed to prevent incidents like cumbria from ever happening,133,24,4.583333333333333,0,0,0,0
"So, you're saying that you believe in absolutely everything your church believes and you support everything it does and the moment it did anything oustide of these you'd leave right?",so you are saying that you believe in absolutely everything your church believes and you support everything it does and the moment it did anything oustide of these you would leave right,182,30,5.1,2,0,1,0
"Perhaps an analogy. Lets say for the sake of the argument you do not smoke or drink (personally against it, for whatever reason). However, you believe others should have the right to drink and smoke if they so choose. So, you are personally against drinking and smoking but you are ""pro-choice"" in that regard (meaning you believe every person should make that determination for themselves).Pro-life would be: You don't drink and smoke (morally against it perhaps) and you are going to make sure that no one else is able to either.",perhaps an analogy lets say for the sake of the argument you do not smoke or drink personally against it for whatever reason however you believe others should have the right to drink and smoke if they so choose so you are personally against drinking and smoking but you are prochoice in that regard meaning you believe every person should make that determination for themselvesprolife would be you do not drink and smoke morally against it perhaps and you are going to make sure that no one else is able to either,531,91,4.846153846153846,3,0,0,0
"Quite frankly, you don't know squat about me. So stop trying to pretend you do.I have gone on record to say I think Christianity does a lot of good in the world.I have even tried to correct Matthew in his anti-Christian tirades. (Until I gave up realizing it would do no good... emoticonXFrazzled )I hate to break it to you, but the WORLD typically functions with people putting out negative news.You hear about how Joe XXXX broke the law.Do you ever hear about how Johnny Atlas keeps the law?emoticonXFrazzled",quite frankly you do not know squat about me so stop trying to pretend you doi have gone on record to say i think christianity does a lot of good in the worldi have even tried to correct matthew in his antichristian tirades until i gave up realizing it would do no good emoticonxfrazzled i hate to break it to you but the world typically functions with people putting out negative newsyou hear about how joe xxxx broke the lawdo you ever hear about how johnny atlas keeps the lawemoticonxfrazzled,510,89,4.741573033707865,1,0,1,0
Do you think humans have the pinnacle of processing power and reason in our brain for the entire universe? (aside from god),do you think humans have the pinnacle of processing power and reason in our brain for the entire universe aside from god,123,22,4.636363636363637,0,0,1,0
"That's not true -- actually, it doesn't make sense. Science is just a bunch of rules (by definition). ""Biology uses science to study life"" is true. ""Physics uses science to study the physical world"" is true, but ""science's purpose is to study life"" is not true. ",that is not true actually it does not make sense science is just a bunch of rules by definition biology uses science to study life is true physics uses science to study the physical world is true but sciences purpose is to study life is not true,262,46,4.695652173913044,9,0,0,0
"No, genesis is not a history lesson. It is a combination of 'just so' stories, and a religious message in allegory format. If you bothered to learn understand some of the hebrew puns behind many of the words, and also see the political commentary of events that were happening during the time it was written, that would be obvious.",no genesis is not a history lesson it is a combination of just so stories and a religious message in allegory format if you bothered to learn understand some of the hebrew puns behind many of the words and also see the political commentary of events that were happening during the time it was written that would be obvious,331,59,4.627118644067797,2,0,0,0
"actually, it can be proven whether leprechauns, unicorns, the flying spaghetti monster, magical space monkeys and livining care baers, and even god, exists or not.the question of proving a belief seems kinda self-contradictory to me. if something is a fact that can be proven, then your belief about it is irrelevant. likewise, if you believe something, whether there are facts to support it or not, its still your belief. there are people who believe things inn the absence of supporting facts, and sometimes even in the face of opposing facts. the term for that is faithfaith is the belief of something in the absence of evidence. if you have faith in something, proof is irrelevant, or at least it should be",actually it can be proven whether leprechauns unicorns the flying spaghetti monster magical space monkeys and livining care baers and even god exists or notthe question of proving a belief seems kinda selfcontradictory to me if something is a fact that can be proven then your belief about it is irrelevant likewise if you believe something whether there are facts to support it or not its still your belief there are people who believe things inn the absence of supporting facts and sometimes even in the face of opposing facts the term for that is faithfaith is the belief of something in the absence of evidence if you have faith in something proof is irrelevant or at least it should be,710,121,4.87603305785124,0,0,0,0
"I'm not sure what you are saying. Are you saying that you think that theropod dinosaurs should have more feathers than this Sinornithosaurus does? First you claim that the entire forelimb would have been useless, and when shown that it was not you claim that the feathers could not have existed because they would be useless, and now when shown a fossil that shows feathers, you are surprised that there are not more.I suspect that not all of the feathers on this creature are apparent in the fossil.http://research.amnh.org/vertpaleo/feather5.jpg http://research.amnh.org/vertpaleo/feather9a.jpg http://research.amnh.org/vertpaleo/feather11.jpg But there are enough to show that feathered dinosaurs did, in fact exist. Any argument about whether or not is is possible that such creatures existed is moot. It is irrelevant that you feel that such limbs would have been useless. Obviously they were not.So now we return to your original confused and erroneous arguments.",i am not sure what you are saying are you saying that you think that theropod dinosaurs should have more feathers than this sinornithosaurus does first you claim that the entire forelimb would have been useless and when shown that it was not you claim that the feathers could not have existed because they would be useless and now when shown a fossil that shows feathers you are surprised that there are not morei suspect that not all of the feathers on this creature are apparent in the fossilhttpresearchamnhorgvertpaleofeatherjpg httpresearchamnhorgvertpaleofeatherajpg httpresearchamnhorgvertpaleofeatherjpg but there are enough to show that feathered dinosaurs did in fact exist any argument about whether or not is is possible that such creatures existed is moot it is irrelevant that you feel that such limbs would have been useless obviously they were notso now we return to your original confused and erroneous arguments,969,145,5.689655172413793,1,0,1,0
"That is the declaration of independence not the constitution.I can go you one better admendment 9 and 10 talk about certain rights retained by the people.Amendment IXThe enumeration in the Constitution, of certain rights, shall not be construed to deny or disparage others retained by the people. Amendment XThe powers not delegated to the United States by the Constitution, nor prohibited by it to the states, are reserved to the states respectively, or to the people.The conservatives would argue that by offering same sex marriage that their persute of happiness is denied by gay people even existing and that they have to look at us.",that is the declaration of independence not the constitutioni can go you one better admendment and talk about certain rights retained by the peopleamendment ixthe enumeration in the constitution of certain rights shall not be construed to deny or disparage others retained by the people amendment xthe powers not delegated to the united states by the constitution nor prohibited by it to the states are reserved to the states respectively or to the peoplethe conservatives would argue that by offering same sex marriage that their persute of happiness is denied by gay people even existing and that they have to look at us,637,105,5.076190476190476,0,0,0,0
"Right. That certainly explains the many, many versions of Christianity.",right that certainly explains the many many versions of christianity,71,10,6.2,0,0,0,0
